53,57,47,48,54,58
57,64,62,57,59,64
62,59,61,55,60,57
58,60,59,48,59,54
40,39,49,47,44,46
46,52,49,41,49,49
43,48,43,45,51,48
66,71,68,66,67,66
66,80,71,67,72,70
39,43,39,35,42,39
69,70,70,68,66,72
44,45,40,41,51,48
51,56,52,52,53,64
68,76,68,65,73,71
6,7,8,5,7,4
8,9,9,8,12,9
3,1,2,2,4,3
68,76,71,60,72,72
69,78,73,71,77,73
71,77,71,68,71,70
72,74,69,65,75,75
62,68,60,61,61,62
48,52,42,46,51,50
62,60,59,56,62,68
18,20,20,16,19,15
69,64,56,59,66,70
19,20,12,15,15,17
67,72,69,61,66,69
55,52,57,48,51,53
41,42,39,39,42,41
25,31,30,28,30,29
65,69,60,60,67,67
46,49,51,41,47,48
58,62,56,48,56,61
3,3,3,3,4,1
51,53,43,50,51,50
56,61,52,47,59,55
57,59,58,59,58,59
75,77,76,72,72,75
66,67,66,63,68,69
41,42,38,41,42,46
52,54,45,50,46,53
73,69,68,59,65,68
8,8,6,9,10,7
62,64,57,58,61,63
60,65,62,59,65,57
22,30,25,20,24,23
11,12,14,7,11,10
31,30,32,32,26,33
45,44,44,46,43,44
58,61,55,53,62,58
39,48,43,40,40,46
75,81,74,66,80,75
12,13,10,14,10,11
23,16,19,22,20,20
15,19,20,14,13,10
63,66,53,52,62,64
31,28,27,25,30,27
41,40,45,43,45,44
20,18,17,18,23,23
17,14,14,15,14,18
13,17,14,16,14,15
62,60,61,58,58,61
17,11,12,14,13,10
20,28,26,21,28,23
41,43,37,37,44,42
70,70,69,63,68,73
11,6,9,9,6,9
64,77,70,61,65,69
12,13,9,13,12,14
75,76,66,69,79,74
51,53,57,54,55,59
75,76,70,69,70,74
49,60,60,49,57,56
68,67,70,62,67,69
4,3,5,6,4,4
41,32,34,28,30,34
10,11,8,9,14,9
25,36,33,32,36,31
13,10,13,9,10,8
34,39,34,35,25,32
46,52,46,45,46,48
3,8,7,4,7,5
54,59,57,57,62,62
52,53,46,52,57,60
27,36,27,29,28,27
49,55,55,49,47,51
8,5,9,4,7,7
52,57,57,49,60,58
75,81,76,68,80,75
28,32,30,28,28,32
64,68,64,63,62,66
10,8,6,10,13,8
69,71,68,61,67,72
18,30,21,20,26,25
27,26,23,16,24,27
55,56,55,48,55,52
4,3,3,1,3,2
69,73,65,61,72,69
0,0,0,1,1,1
